,Local,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial
59,"Brasília, DF",1997-04-27,3,14,15,20,21,38,0,129,7914,0,7111.47,115.69,,0,0,0,SIM,SIM
60,"Brasília, DF",1997-05-04,8,18,29,42,44,59,0,52,3866,0,18902.94,253.76,,0,0,0,SIM,SIM
61,"Brasília, DF",1997-05-11,6,8,13,24,31,52,0,119,8613,0,9968.7,137.46,,0,0,0,SIM,SIM
62,"Brasília, DF",1997-05-18,9,25,26,40,41,49,1,82,6359,13680019.57,16246.91,209.1,MG,0,0,0,NAO,SIM
63,"Brasília, DF",1997-05-25,8,12,23,50,54,60,0,29,2441,0,23309.96,276.38,,0,0,0,SIM,SIM
64,"Brasília, DF",1997-06-01,1,5,20,25,32,34,0,61,4932,0,11542.37,142.48,,0,0,0,SIM,SIM
65,"Brasília, DF",1997-06-08,12,13,15,26,33,48,0,102,7686,0,8054.25,106.68,,0,0,0,SIM,SIM
66,"Brasília, DF",1997-06-15,12,14,17,27,47,52,0,83,5479,0,10617.25,160.52,,0,0,0,SIM,SIM
67,"Brasília, DF",1997-06-22,1,3,12,13,53,59,0,49,4758,0,18496.73,190.11,,0,0,0,SIM,SIM
68,"Brasília, DF",1997-06-29,25,34,45,53,56,58,0,55,3661,0,17271.48,258.96,,0,0,0,SIM,SIM
69,"Brasília, DF",1997-07-06,17,23,27,40,43,58,0,95,6071,0,12899.52,201.46,,0,0,0,SIM,SIM
70,"Brasília, DF",1997-07-13,16,27,33,43,45,53,0,115,7430,0,12451.74,192.35,,0,0,0,SIM,SIM
71,"Brasília, DF",1997-07-20,1,19,34,43,44,48,0,85,7982,0,19676.33,209.13,,0,0,0,SIM,SIM
72,"Brasília, DF",1997-07-27,25,26,28,45,51,57,1,95,8222,21026575.4,21205.27,244.52,BA,0,0,0,NAO,SIM
73,"Brasília, DF",1997-08-03,2,24,34,37,38,50,0,40,3321,0,18257.68,219.48,,0,0,0,SIM,SIM
74,"Brasília, DF",1997-08-10,21,24,35,36,37,49,0,70,5032,0,12395.02,172.09,,0,0,0,SIM,SIM
75,"Brasília, DF",1997-08-17,8,17,18,23,33,53,0,92,6399,0,10247.61,147.04,,0,0,0,SIM,SIM
76,"Brasília, DF",1997-08-24,21,29,40,49,54,57,0,20,2635,0,49648.81,376.09,,0,0,0,SIM,SIM
77,"Brasília, DF",1997-08-31,12,22,25,31,32,46,0,103,5984,0,9907.36,170.19,,0,0,0,SIM,SIM
78,"Brasília, DF",1997-09-07,2,13,17,25,31,43,1,247,13375,6770601.75,4404.85,81.18,RS,0,0,0,NAO,SIM
79,"Brasília, DF",1997-09-14,23,28,37,40,48,51,0,43,4284,0,26443,264.89,,0,0,0,SIM,SIM
80,"Brasília, DF",1997-09-21,10,23,41,47,54,60,0,62,4870,0,19453.15,247.17,,0,0,0,SIM,SIM
81,"Brasília, DF",1997-09-28,15,18,29,36,51,53,1,77,5889,13877826.02,15982.73,208.57,BA,0,0,0,NAO,SIM
82,"Brasília, DF",1997-10-05,4,15,16,24,42,57,0,76,4756,0,9408.43,150.04,,0,0,0,SIM,SIM
83,"Brasília, DF",1997-10-12,4,6,10,25,34,40,0,102,5546,0,7539.68,138.4,,0,0,0,SIM,SIM
84,"Brasília, DF",1997-10-19,6,15,30,37,45,47,0,45,4312,0,17279.25,179.96,,0,0,0,SIM,SIM
85,"Brasília, DF",1997-10-26,6,21,22,34,36,54,0,48,3752,0,16752.96,213.9,,0,0,0,SIM,SIM
86,"Bras��lia, DF",1997-11-02,4,5,11,28,32,40,0,64,5195,0,12696.6,156.11,,0,0,0,SIM,SIM
87,"Brasília, DF",1997-11-09,4,18,29,37,43,45,0,110,6805,0,7965.82,128.51,,0,0,0,SIM,SIM
88,"Brasília, DF",1997-11-16,13,34,42,44,55,59,0,36,3847,0,24246,226.45,,0,0,0,SIM,SIM
89,"Brasília, DF",1997-11-23,9,21,26,40,52,54,1,74,4763,15764300.87,18584.49,288.17,RJ,0,0,0,NAO,SIM
90,"Brasília, DF",1997-11-30,2,4,10,35,39,60,0,68,3878,0,9588.8,167.81,,0,0,0,SIM,SIM
91,,1997-12-07,1,3,5,23,24,51,0,75,5530,0,9792.64,132.56,,0,0,0,SIM,SIM
92,,1997-12-14,2,22,28,31,36,53,0,61,3795,0,12369.31,198.44,,0,0,0,SIM,SIM
93,,1997-12-21,8,18,28,51,52,55,0,25,2086,0,31457.49,376.26,,0,0,0,SIM,SIM
94,,1997-12-28,6,40,45,46,50,60,0,22,2185,0,30807.89,309.58,,0,0,0,SIM,SIM
95,,1998-01-04,4,7,26,40,42,58,1,62,3984,5218562.47,11993.17,186.27,,0,0,0,NAO,SIM
96,,1998-01-11,5,11,14,35,53,56,1,56,3441,727932.66,10832.33,175.94,,0,0,0,NAO,SIM
97,,1998-01-18,13,14,31,33,35,43,0,89,4972,0,6508.88,116.28,,0,0,0,SIM,SIM
98,"Brasília, DF",1998-01-25,11,24,30,33,46,60,0,46,3015,0,14037.92,213.76,,0,0,0,SIM,SIM
99,,1998-02-01,14,29,30,46,48,51,0,56,3600,0,15930.48,247.32,,0,0,0,SIM,SIM
100,,1998-02-08,1,18,29,31,37,39,0,52,4653,0,20589.41,229.64,,0,0,0,SIM,SIM
101,,1998-02-15,19,20,37,42,44,56,1,73,6197,11336626.88,16743.36,196.85,,0,0,0,NAO,SIM
102,,1998-02-22,1,7,9,49,54,57,1,28,2632,696984.24,20743.58,220.24,,0,0,0,NAO,SIM
103,,1998-03-01,1,4,13,21,38,52,0,37,2588,0,14006.33,199.85,,0,0,0,SIM,SIM
104,,1998-03-08,3,13,31,43,46,49,0,55,4875,0,11824.08,133.14,,0,0,0,SIM,SIM
105,"Brasília, DF",1998-03-15,5,16,24,35,38,39,0,94,5390,0,7678.27,133.65,,9795278,3000000,0,SIM,SIM
106,,1998-03-22,2,4,16,24,51,52,0,35,3554,0,21494.23,211.26,,0,0,0,SIM,SIM
107,,1998-03-29,21,24,29,34,59,60,0,35,2453,0,22511.72,320.57,,0,0,0,SIM,SIM
108,,1998-04-04,1,13,44,48,49,54,0,39,3881,0,21153.3,212.15,,0,0,0,SIM,SIM
109,,1998-04-11,18,31,43,52,57,58,0,35,3212,0,27771.48,302.01,,0,0,0,SIM,SIM
110,,1998-04-18,4,22,25,32,33,52,0,68,6109,0,18082.94,200.88,,0,0,0,SIM,SIM
111,,1998-04-25,12,20,34,37,42,43,1,137,8340,15802579.93,9957.01,163.25,,0,0,0,NAO,SIM
112,,1998-05-02,7,26,28,34,54,55,0,38,2572,0,14269.55,210.4,,0,0,0,SIM,SIM
113,,1998-05-09,6,12,18,37,47,54,0,71,4908,0,9626.08,138.99,,0,0,0,SIM,SIM
114,,1998-05-16,4,6,14,20,24,38,0,78,5091,0,9283.1,141.95,,0,0,0,SIM,SIM
115,"BRASÍLIA, DF",1998-05-23,5,13,32,36,42,51,0,64,5270,0,11956.28,144.91,,10384878,4200000,0,SIM,SIM
116,,1998-05-30,20,25,27,33,42,53,0,36,3822,0,22046.87,207.26,,0,0,0,SIM,SIM
117,,1998-06-06,9,22,25,37,56,57,0,53,4342,0,16052.88,195.56,,0,0,0,SIM,SIM
118,,1998-06-13,1,21,36,38,47,50,0,21,2691,0,38921.16,303.13,,0,0,0,SIM,SIM
119,,1998-06-20,3,16,27,40,45,46,0,92,7073,0,13020.97,169.04,,0,0,0,SIM,SIM
120,,1998-06-27,2,29,41,44,53,55,0,45,4554,0,28917,285.17,,0,0,0,SIM,SIM
121,,1998-07-04,11,17,20,39,43,53,0,83,7203,0,18210.45,209.43,,0,0,0,SIM,SIM
122,,1998-07-11,13,14,16,26,32,42,0,176,13159,0,12440.56,166.06,,0,0,0,SIM,SIM
123,,1998-07-18,5,15,34,41,52,57,1,188,14019,24536288.72,17242.12,230.76,,0,0,0,NAO,SIM
124,,1998-07-25,25,41,47,53,56,59,0,46,2784,0,15425.68,254.38,,0,0,0,SIM,SIM
125,,1998-08-01,6,10,11,28,32,40,0,83,5510,0,10052.56,151.13,,0,0,0,SIM,SIM
126,,1998-08-08,21,29,50,51,54,59,0,40,2613,0,23638.47,361.14,,0,0,0,SIM,SIM
127,,1998-08-15,3,9,18,21,23,43,0,973,11715,0,1024.41,84.91,,0,0,0,SIM,SIM
128,"Brasília, DF",1998-08-22,1,9,10,32,46,54,0,67,5320,0,15634.41,196.51,,0,0,0,SIM,SIM
129,,1998-08-29,13,29,38,42,49,53,0,155,11403,0,11796.24,160.03,,0,0,0,SIM,SIM
130,,1998-09-05,4,9,17,27,30,44,0,361,21683,0,6811.67,113.19,,0,0,0,SIM,SIM
131,,1998-09-12,7,9,35,41,44,50,0,143,12179,0,20846.64,244.29,,0,0,0,SIM,SIM
132,,1998-09-19,5,6,19,34,39,57,1,431,29264,30533241.12,10035.16,147.51,,0,0,0,NAO,SIM
133,,1998-09-26,4,25,32,36,52,60,0,82,4575,0,10253.38,183.42,,0,0,0,SIM,SIM
134,,1998-10-03,21,22,35,40,53,59,0,40,3604,0,24573.18,272.19,,0,0,0,SIM,SIM
135,,1998-10-10,1,17,25,38,45,59,0,126,7403,0,8435.36,143.29,,0,0,0,SIM,SIM
136,,1998-10-17,15,16,19,22,26,49,0,88,6701,0,12675.49,166.13,,0,0,0,SIM,SIM
137,,1998-10-24,5,14,27,37,40,41,0,86,6953,0,14074.36,173.74,,0,0,0,SIM,SIM
138,,1998-10-31,3,13,26,27,41,42,2,179,9401,3902486.14,7216.46,137.14,,0,0,0,NAO,SIM
139,,1998-11-07,7,31,41,44,46,55,0,45,4945,0,36581.33,332.24,,0,0,0,SIM,SIM
140,,1998-11-14,10,13,22,41,42,58,0,119,10533,0,20106.1,226.7,,0,0,0,SIM,SIM
141,,1998-11-21,8,15,19,20,54,59,0,162,13991,0,18143.56,209.66,,0,0,0,SIM,SIM
142,,1998-11-28,6,18,20,40,50,53,0,144,10994,0,24792.99,324.1,,0,0,0,SIM,SIM
143,,1998-12-05,8,32,36,44,45,55,1,257,23952,33597755.21,20952.14,224.38,,0,0,0,NAO,SIM
144,,1998-12-12,15,16,31,41,43,51,0,71,3389,0,15061.27,314.91,,0,0,0,SIM,SIM
145,,1998-12-19,25,32,34,42,51,60,0,51,4079,0,23923.45,298.52,,0,0,0,SIM,SIM
146,,1998-12-24,6,16,23,24,28,38,1,75,5418,3805750.38,11760.17,162.48,,0,0,0,NAO,SIM
147,,1998-12-31,32,35,41,55,58,59,0,15,2322,0,53660.04,345.95,,0,0,0,SIM,SIM
148,"Brasília, DF",1999-01-09,7,11,20,28,45,48,0,106,6290,0,9795.13,164.74,,0,0,0,SIM,SIM
149,,1999-01-16,12,44,50,52,54,55,0,56,5540,0,36378.71,367,,0,0,0,SIM,SIM
150,,1999-01-23,3,16,20,43,52,56,1,152,9869,24091811.02,14678.07,225.62,,0,0,0,NAO,SIM
151,,1999-01-30,5,12,15,29,51,58,0,75,5041,0,11562.39,172.03,,0,0,0,SIM,SIM
152,,1999-02-06,2,30,31,42,45,47,0,47,4218,0,22846.45,254.57,,0,0,0,SIM,SIM
153,,1999-02-13,8,10,24,33,45,48,0,144,9252,0,7888.29,122.78,,0,0,0,SIM,SIM
154,,1999-02-20,12,30,32,35,43,44,1,67,4974,4988808.21,16126.32,217.22,,0,0,0,NAO,SIM
155,,1999-02-27,17,23,42,49,52,55,0,74,4455,0,11018.1,183.02,,0,0,0,SIM,SIM
156,,1999-03-06,4,13,17,21,41,44,1,134,8894,2140030.92,7224.03,108.84,,0,0,0,NAO,SIM
157,,1999-03-13,4,14,17,43,51,58,0,31,3630,0,25856.53,220.81,,0,0,0,SIM,SIM
158,"Brasília, DF",1999-03-20,9,11,16,35,50,58,1,57,4124,2038170.67,15735.49,217.49,PR,0,0,0,NAO,SIM
159,"Sto. Antônio da Platina, PR",1999-03-27,2,13,42,52,54,58,0,74,6132,0,19431.89,234.5,,0,0,0,SIM,SIM
160,,1999-04-03,6,25,30,37,39,41,0,95,6865,0,14430.61,199.69,,0,0,0,SIM,SIM
161,,1999-04-10,21,23,33,38,48,51,0,92,7244,0,20941.3,265.96,,0,0,0,SIM,SIM
162,,1999-04-17,8,27,36,41,53,56,2,146,10793,8975833.36,15657.23,211.8,,0,0,0,NAO,SIM
163,,1999-04-24,4,10,14,19,28,44,0,111,8386,0,7595.63,100.54,,0,0,0,SIM,SIM
164,,1999-05-01,10,19,23,35,39,56,2,75,5378,1044444.54,11968.35,166.91,,0,0,0,NAO,SIM
165,,1999-05-08,12,13,22,57,59,60,0,47,3371,0,17424.67,242.95,,0,0,0,SIM,SIM
166,,1999-05-15,1,11,28,33,38,48,1,82,4997,2100980.21,11364.11,186.48,,0,0,0,NAO,SIM
167,,1999-05-22,2,9,31,35,45,50,0,48,3528,0,15743.7,214.2,,0,0,0,SIM,SIM
168,"Ourinhos, SP",1999-05-29,1,13,21,37,51,52,0,65,4489,0,13679.08,198.07,,0,0,0,SIM,SIM
169,,1999-06-05,7,41,46,51,55,58,0,50,6257,0,32383.95,258.78,,0,0,0,SIM,SIM
170,"Americana, SP",1999-06-12,4,27,40,43,46,54,1,134,10378,16052410.83,14983.3,193.46,,0,0,0,NAO,SIM
171,,1999-06-19,10,14,26,35,36,49,0,64,4592,0,13460.12,186.89,,0,0,0,SIM,SIM
172,,1999-06-26,17,28,29,42,49,50,1,40,3610,2148316.42,23220.41,256.32,,0,0,0,NAO,SIM
173,,1999-07-03,11,22,23,36,52,59,0,44,3217,0,17846.85,243.18,,0,0,0,SIM,SIM
174,,1999-07-10,1,10,13,20,42,50,0,114,7058,0,8094.08,130.25,,0,0,0,SIM,SIM
175,,1999-07-17,1,3,4,28,45,53,0,62,5405,0,16696.39,190.8,,0,0,0,SIM,SIM
176,"São Leopoldo, RS",1999-07-24,22,35,38,39,41,59,0,52,4408,0,21716.29,255.21,,0,0,0,SIM,SIM
177,,1999-07-31,5,15,19,26,27,33,1,198,13086,6129539.43,6240.11,94.07,,0,0,0,NAO,SIM
