X,Y,Name,description,altitudeMode
-35.2364000212401,-5.82356669940054,P38 I 40,,clampToGround
-35.2062167041004,-5.80126664601266,P38 I 41,,clampToGround
-35.1998667418957,-5.8158499840647,P38 I 57,,clampToGround
-35.205383291468,-5.7990665640682,P39 I 33,,clampToGround
-35.2042499743402,-5.81071673892438,P39 I 33A,,clampToGround
-35.2073999773711,-5.80911663360894,P39 I 33B,,clampToGround
-35.2372332662344,-5.82165000960231,P39 I 40,,clampToGround
-35.205383291468,-5.79906664788723,P39 I 41,,clampToGround
-35.2005166746676,-5.81773331388831,P39 I 57,,clampToGround
-35.2048666309565,-5.81013335846364,P39 V 33B,,clampToGround
-35.2589166630059,-5.84729997441173,P4 I 331,,clampToGround
-35.2519166842103,-5.85393332876265,P4 I 332,,clampToGround
-35.2620000299066,-5.85193332284689,P4 I 33A,,clampToGround
-35.2586333546788,-5.85815001279116,P4 I 33B,,clampToGround
-35.2610500250012,-5.85358330048621,P4 I 40,,clampToGround
-35.2435166761279,-5.83595003932714,P4 I 41,,clampToGround
-35.1900667045265,-5.78896670602262,P4 I 57,,clampToGround
-35.2035666815937,-5.7942000310868,P40 I 33,,clampToGround
-35.203150017187,-5.80778332427144,P40 I 33A,,clampToGround
-35.2358166407794,-5.82038333639503,P40 I 40,,clampToGround
-35.2035666815937,-5.7942000310868,P40 I 41,,clampToGround
-35.2024994138628,-5.82311013713479,P40 I 57,,clampToGround
-35.2049500308931,-5.81203336827457,P40 V 33B,,clampToGround
-35.2026666328311,-5.79181663691998,P41 I 33,,clampToGround
-35.2018167078495,-5.80401666462421,P41 I 33A,,clampToGround
-35.2334333304316,-5.82126670517027,P41 I 40,,clampToGround
-35.2026666328311,-5.79181663691998,P41 I 41,,clampToGround
-35.1997985970229,-5.82412996329367,P41 I 57,,clampToGround
-35.2070833090693,-5.81790002994239,P41 V 33B,,clampToGround
-35.2020499762148,-5.79014997929335,P42 I 33,,clampToGround
-35.2005666308105,-5.80066666938365,P42 I 33A,,clampToGround
-35.225783335045,-5.82093344070017,P42 I 40,,clampToGround
-35.2020499762148,-5.79014997929335,P42 I 41,,clampToGround
-35.2001833263785,-5.82511668093503,P42 I 57,,clampToGround
-35.2080000378191,-5.8205833286047,P42 V 33B,,clampToGround
-35.1993499975652,-5.79738331027329,P43 I 33A,,clampToGround
-35.2243999857455,-5.81709997728467,P43 I 40,,clampToGround
-35.200266642496,-5.78534999862313,P43 I 41,,clampToGround
-35.2013165596873,-5.82775002345443,P43 I 57,,clampToGround
-35.2094832994044,-5.82313335500658,P43 V 33B,,clampToGround
-35.198583304882,-5.79526662826538,P44 I 33A,,clampToGround
-35.2231333125383,-5.81538336351514,P44 I 40,,clampToGround
-35.1982666365802,-5.78083332628012,P44 I 41,,clampToGround
-35.2045333664864,-5.83211665973067,P44 I 57,,clampToGround
-35.215883301571,-5.82563334144652,P44 V 33B,,clampToGround
-35.1978000160307,-5.79318330623209,P45 I 33A,,clampToGround
-35.2205167338252,-5.81315000541508,P45 I 40,,clampToGround
-35.2015000395477,-5.7789499964565,P45 I 41,,clampToGround
-35.1972333155572,-5.83744998089969,P45 I 57,,clampToGround
-35.2047999948263,-5.77833333984017,P45 V  24,,clampToGround
-35.2443666849285,-5.85159997455776,P45 V 33,,clampToGround
-35.2177833113819,-5.82888334058225,P45 V 33B,,clampToGround
-35.1968666911125,-5.79073335975409,P46 I 33A,,clampToGround
-35.2226167358458,-5.81238331273198,P46 I 40,,clampToGround
-35.2454333659261,-5.85108331404626,P46 V 33,,clampToGround
-35.2176833152771,-5.83205002360046,P46 V 33B,,clampToGround
-35.2057666797191,-5.77931670472026,P46 V 41,,clampToGround
-35.2031999733299,-5.84208332933486,P46 V 57,,clampToGround
-35.1955000218004,-5.78705001622438,P47 I 33A,,clampToGround
-35.244666673243,-5.85318331606686,P47 V 33,,clampToGround
-35.2185333240777,-5.83416670560837,P47 V 33B,,clampToGround
-35.2066499646753,-5.785016650334,P47 V 41,,clampToGround
-35.2091500349343,-5.82413331605494,P47 V 57,,clampToGround
-35.1941500324756,-5.78679998405278,P48 I 33A,,clampToGround
-35.2229833602905,-5.80679995939136,P48 I 40,,clampToGround
-35.2015333157033,-5.78813329339027,P48 V 33,,clampToGround
-35.2441333327442,-5.855149962008,P48 V 331,,clampToGround
-35.2192666567862,-5.83611667156219,P48 V 33B,,clampToGround
-35.2015333157033,-5.78813329339027,P48 V 41,,clampToGround
-35.2077165618539,-5.82048333249986,P48 V 57,,clampToGround
-35.1915333699435,-5.7876000367105,P49 I 33A,,clampToGround
-35.2209000382572,-5.80508326180279,P49 I 40,,clampToGround
-35.2028833050281,-5.79175000078976,P49 V 33,,clampToGround
-35.2204666938633,-5.83924999460578,P49 V 33B,,clampToGround
-35.2028833050281,-5.79175000078976,P49 V 41,,clampToGround
-35.2060832642019,-5.81573330797255,P49 V 57,,clampToGround
-35.2503999788314,-5.85676666349173,P5 I 33,,clampToGround
-35.2610500250012,-5.85358330048621,P5 I 33A,,clampToGround
-35.2594166435301,-5.85666666738689,P5 I 33B,,clampToGround
-35.2603499684483,-5.855149962008,P5 I 40,,clampToGround
-35.2426166273654,-5.83493331447244,P5 I 41,,clampToGround
-35.1888166274875,-5.79083343967795,P5 I 57,,clampToGround
-35.1900667045265,-5.78896670602262,P50 I 33A,,clampToGround
-35.2187000401318,-5.80326673574746,P50 I 40,,clampToGround
-35.2041499782354,-5.79516663216054,P50 V 33,,clampToGround
-35.2248999662697,-5.84725001826882,P50 V 33B,,clampToGround
-35.2041499782354,-5.79516663216054,P50 V 41,,clampToGround
-35.202933261171,-5.8137000259012,P50 V 57,,clampToGround
-35.1873833220452,-5.79256664961576,P51 I 33A,,clampToGround
-35.2162999659777,-5.7994999922812,P51 I 40,,clampToGround
-35.205216659233,-5.7980165630579,P51 V 33,,clampToGround
-35.2266166638583,-5.8509000018239,P51 V 33B,,clampToGround
-35.205216659233,-5.79801664687693,P51 V 41,,clampToGround
-35.1989666931331,-5.81341663375497,P51 V 57,,clampToGround
-35.1865166332573,-5.79446665942669,P52 I 33A,,clampToGround
-35.2175333630294,-5.79718331806362,P52 I 40,,clampToGround
-35.2061666641384,-5.80056667327881,P52 V 33,,clampToGround
-35.2297666668892,-5.85601673461497,P52 V 33B,,clampToGround
-35.2061666641384,-5.80056667327881,P52 V 41,,clampToGround
-35.1972499955446,-5.81336667761207,P52 V 57,,clampToGround
-35.1855500321835,-5.79636666923761,P53 I 33A,,clampToGround
-35.2136833034456,-5.79393331892788,P53 I 40,,clampToGround
-35.2067166846246,-5.80206669867039,P53 V 33,,clampToGround
-35.2341167069972,-5.85789998061955,P53 V 33B,,clampToGround
-35.2067166846246,-5.80206669867039,P53 V 41,,clampToGround
-35.1950333174318,-5.81235003657639,P53 V 57,,clampToGround
-35.2085667382926,-5.79121666029096,P54 I 40,,clampToGround
-35.2075666934252,-5.80433333292603,P54 V 33,,clampToGround
-35.2353999763727,-5.85714996792376,P54 V 33B,,clampToGround
-35.2075666934252,-5.80433333292603,P54 V 41,,clampToGround
-35.1964667066932,-5.80993336625397,P54 V 57,,clampToGround
-35.185850020498,-5.79841663129628,P55 I 33A,,clampToGround
-35.2038383390754,-5.78657819889486,P55 I 40,,clampToGround
-35.20891668275,-5.80798331648111,P55 V 33,,clampToGround
-35.185850020498,-5.79841663129628,P55 V 33*,,clampToGround
-35.2373999822885,-5.8559166546911,P55 V 33B,,clampToGround
-35.20891668275,-5.80798331648111,P55 V 41,,clampToGround
-35.199883338064,-5.80858329311013,P55 V 57,,clampToGround
-35.1843834389001,-5.79958330839872,P56 I 33A,,clampToGround
-35.2017333079129,-5.78705001622438,P56 I 40,,clampToGround
-35.2105666603893,-5.81273334100842,P56 V 33,,clampToGround
-35.1825333014131,-5.79999997280538,P56 V 33*,,clampToGround
-35.1843834389001,-5.79958330839872,P56 V 33**,,clampToGround
-35.1825333014131,-5.79999997280538,P56 V 33A,,clampToGround
-35.239766696468,-5.85450002923608,P56 V 33B,,clampToGround
-35.2105666603893,-5.81273334100842,P56 V 41,,clampToGround
-35.2017333079129,-5.80784996040165,P56 V 57,,clampToGround
-35.199016565457,-5.78816673718393,P57 I 40,,clampToGround
-35.2114999853075,-5.81536668352783,P57 V 33,,clampToGround
-35.1832666341215,-5.7966332975775,P57 V 33*,,clampToGround
-35.1832666341215,-5.7966332975775,P57 V 33A,,clampToGround
-35.2417333424091,-5.85329999215901,P57 V 33B,,clampToGround
-35.2114999853075,-5.81536668352783,P57 V 41,,clampToGround
-35.2043333742768,-5.80681663937867,P57 V 57,,clampToGround
-35.1941500324756,-5.78679998405278,P58 I 40,,clampToGround
-35.2125499863178,-5.81834997050464,P58 V 33,,clampToGround
-35.1843499951065,-5.79416667111218,P58 V 33*,,clampToGround
-35.1843499951065,-5.79416667111218,P58 V 33A,,clampToGround
-35.2454333659261,-5.85108331404626,P58 V 33B,,clampToGround
-35.2125499863178,-5.81834997050464,P58 V 41,,clampToGround
-35.2068999968469,-5.80579999834299,P58 V 57,,clampToGround
-35.1915333699435,-5.7876000367105,P59 I 40,,clampToGround
-35.2139500156045,-5.82220003008842,P59 V 33,,clampToGround
-35.1869000215083,-5.79139997251332,P59 V 33*,,clampToGround
-35.1869000215083,-5.79139997251332,P59 V 33A,,clampToGround
-35.244666673243,-5.85318331606686,P59 V 33B,,clampToGround
-35.2139500156045,-5.82220003008842,P59 V 41,,clampToGround
-35.209083314985,-5.80411666072905,P59 V 57,,clampToGround
-35.2603499684483,-5.855149962008,P6 I 33A,,clampToGround
-35.2601499762386,-5.85526663810015,P6 I 33B,,clampToGround
-35.2596333157271,-5.85660003125668,P6 I 40,,clampToGround
-35.2414833102375,-5.83364996127784,P6 I 41,,clampToGround
-35.1873833220452,-5.7925667334348,P6 I 57,,clampToGround
-35.2033999655396,-5.77641656622291,P60 I 33,,clampToGround
-35.1900667045265,-5.78896670602262,P60 I 40,,clampToGround
-35.1886166352779,-5.78928337432444,P60 V 33,,clampToGround
-35.1886166352779,-5.78928337432444,P60 V 33A,,clampToGround
-35.2467666752636,-5.85638335905969,P60 V 33B,,clampToGround
-35.215883301571,-5.82563334144652,P60 V 41,,clampToGround
-35.2226999681443,-5.82254997454584,P60 V 411,,clampToGround
-35.2124166302383,-5.79981666058302,P60 V 57,,clampToGround
-35.2020499762148,-5.7741666957736,P61 I 33,,clampToGround
-35.1888166274875,-5.79083343967795,P61 I 40,,clampToGround
